keyword,links,count
Expression of Ethnic Di˛erence While,6845,1
Botokous,6845,1
Elmina,6845,1
Fulah,6845,1
Multiethnic Community Robin Law,6845,1
Freda Dahomi,6845,1
Zomaï,6845,1
YorubaNago,6845,1
Nicolas,6845,1
Apotossou,6845,1
Ignacio,6845,1
Islam,"6845,6869",2
Boya,6845,1
Afro American,6845,1
Zinsou Akpadé,6845,1
Glele,6845,1
Nesuhwe,6845,1
Brazilian Francisco Felix de Souza,6845,1
Hodonou,6845,1
Dahomian Dagba,6845,1
Madeira,"6845,6902",2
Lino Felix de Souza,6845,1
Fon of Dahomey,6845,1
Yoruba Sango,6845,1
Cotia,6845,1
Multiethnic Community Ouidah,6845,1
Tchamba,6845,1
Adanle,6845,1
Quénums,6845,1
Wemenu,6845,1
Glidji,6845,1
Iseyin,6845,1
GenPopo,6845,1
Governor,6845,1
Yorubas,6845,1
Management of Cultural Di˛erence,6845,1
Guineaﬂ,6845,1
Pla,6845,1
BrazilianMahi,6845,1
São Tomé,"6845,6840,6902",3
Ouémè Djigbe,6845,1
Dassa,6845,1
Republic of Bénin,6845,1
Djeken,6845,1
Kilofé,6845,1
Gnahoui,6845,1
Freetown,6845,1
Afro Brazilian de Souzas,6845,1
Dangana,6845,1
Abomey,6845,1
Savi,6845,1
Kocou,6845,1
Goulola,6845,1
Segni,6845,1
Cahosaramè,6845,1
Docomè,6845,1
Upper Guinea,6840,1
Minas,6840,1
Captain Francisco Caballero,6840,1
Congos,6840,1
Bentura Paulo,6840,1
Mataindios,6840,1
Latin America,"6840,6847,6867",3
Pedro de Heredia,"6840,6872,6876",3
Santiago Matamoros,6840,1
Iberian Peninsula,"6840,6878,6902",3
Holy,6840,1
Jesuit College of Cartagena,6840,1
Soo,6840,1
Ignacio Angola,6840,1
Enriqueta Vila Vilar,6840,1
Media Luna,6840,1
Rivers of Guinea,6840,1
Sierra María,6840,1
David Wheat,6840,1
Catholicism,6840,1
Joaquin Nalua,6840,1
Hispaniola,6840,1
Juan de Pando,6840,1
Spanish Americas,6840,1
Governor Nicolás de Ovando,6840,1
Bran,6840,1
Norossi,6840,1
Father Zapata,6840,1
Spanish Christians,6840,1
Veracruz,"6840,6867",2
Venezuela,"6840,6872,6868,6873,6843,6876",6
Lent,6840,1
Portuguese Company of Cacheu,6840,1
Plaza Matadero,6840,1
Convent of Chapter Seven Santa Clara,6840,1
Juana Padilla,6840,1
Council,6840,1
Captain Francisco Arará,6840,1
Compañía de Jesús,6840,1
Arara,6840,1
João José Reis,"6840,6854",2
Tabacal,6840,1
Convent of Santa Clara,6840,1
Governor Martin de Cevallos,6840,1
Colombia,"6840,6864,6902,6872",4
Coco,6840,1
Gundisalvo Arias,6840,1
African Landscape of Seventeenth Century Cartagena,6840,1
El Limón,6840,1
Matudere's African,6840,1
Pedro Claver,6840,1
Panama,"6840,6872",2
Rivera,6840,1
King of Allada,6840,1
Francisco de Vera,6840,1
Hospital of San Juan de Dios,6840,1
Fernando Zapata,6840,1
Peru,"6891,6895,6867,6868,6840",5
Pedro Pérez,6840,1
Diego Colón,6840,1
Manuel Pinto de Gama,6840,1
Arenal,6840,1
Ararás of Cartagena,6840,1
Governor Cevallos,6840,1
Francisco Popo,6840,1
Alfonso Angola,6840,1
Piojón,6840,1
Jesuit Chapter Seven Father Andrade,6840,1
Captain Padilla,6840,1
Rio Magdalena,6840,1
Mateo Arará,6840,1
Father de la Fuente,6840,1
Espino,6840,1
Antonio Bomba,6840,1
Slaughterhouse,6840,1
Dahomey,"6840,6878",2
Miguel Pantoja,6840,1
Pedro Mina,6840,1
Senegambia,6840,1
Diego Biáfara,6840,1
Cartagena's Inquisitors,6840,1
Cartagena's Inquisition,6840,1
Inquisition of Santiago de Cuba,6840,1
Goyo,6840,1
San Agustín,6840,1
Duanga,6840,1
San Basilio,6840,1
Charleston,"6839,6860,6837,6871,6840,6873,6843,6876",8
Negroslayer,6840,1
Cartagena de Indias,"6840,6872",2
Espiritu Santo Street,6840,1
Getsemaní,6840,1
Guiomar,6840,1
Bolivia,"6840,6869,6843",3
Price,"6840,6860",2
Mompox,"6840,6876",2
Rodrigo de Bastides,6840,1
António de Almeida Mendes,6840,1
Guale,6840,1
San Francisco,6840,1
Clara María de Leon Bonifacio,6840,1
Kingdom of New Granada,6840,1
Gate of the Half Moon,6840,1
Vizente,6840,1
Juan de la Peña,6840,1
Calepino,6840,1
Biafran,6840,1
Taíno Indians,6840,1
Lower Guinea,6840,1
Captain Granzo,6840,1
Don Diego Durango,6840,1
Andres Angola,6840,1
Enriquillo,6840,1
Father Claver,6840,1
Spanish Reconquest,6840,1
Masu,6840,1
University of Cartagena,6840,1
Iberian Atlantic World,"6840,6902",2
Paula Eguiluz,6840,1
Eguiliz,6840,1
Potosí,6840,1
San Sebastián,6840,1
Captain Domingo Padilla,6840,1
Sinú Indians,6840,1
Popos,6840,1
Cabo Verde,6840,1
Plaza de la Yerba,6840,1
Junta de Guerra,6840,1
Don Juan de Berrio,6840,1
Hydra,6840,1
Timiriguaco,6840,1
Magdalena River,"6840,6876",2
Viceroyalty of New Spain,6840,1
Pablo Gómez,6840,1
San Juan de Ulúa,6840,1
San Miguel del Gualdape,6840,1
Plaza of the Gaguyes,6840,1
Baltasar de la Fuente,6840,1
Bifagua,6840,1
Tezadello Street,6840,1
Cartagena's African,6840,1
Santiago Matanegros,6840,1
Buriticá,6840,1
Yolofes,6840,1
Rome,6840,1
Lucas Vásquez de Ayllón,6840,1
Francisco Mandinga,6840,1
Fray de la Fuente,6840,1
Bahoruco,6840,1
Its Hinterlands Jane Landers Spain,6840,1
Catalina,6840,1
Jamaica,"6840,6867,6884,6854",4
Mexican,"6840,6873,6859",3
South Carolina,"6840,6843",2
Luangve Angolans,6840,1
Ogun,6840,1
Captain Domingo Padillst,6840,1
Don Fernando Padilla,6840,1
San Miguel Arcangel,6840,1
Santa Marta,"6840,6869,6876",3
Portobello,6840,1
La Venta Chapter Seven,6840,1
Mediterranean Turks,6840,1
Manuel Arará,6840,1
Don Pedro de Anaya,6840,1
Franciscos,6840,1
Archangel Michael,6840,1
Caravalíes,6840,1
Company of Pernambuco,6847,1
Lourenço Agostinho,6847,1
Mbaka,6847,1
Kilanda,6847,1
Pedro Francisco,6847,1
Governor Miguel Antonio de Mello,6847,1
Francisco Inácio,6847,1
Ana Maria,6847,1
Manoel Pires Chaves,6847,1
Mateus Guellette,6847,1
Antonio de Oliveira Cadornega,6847,1
Manoel António,6847,1
Manoel Teixeira,6847,1
Anselmo da Fonseca Coitinho,6847,1
Francisco António,6847,1
Caetano Gonçalves da Gama,6847,1
Capuchins,6847,1
Ana Correa da Costa,6847,1
Sundays,6847,1
Francisco Ferreira Gomes,6847,1
Angola Miguel Antonio de Mello,6847,1
João dos Santos,6847,1
João Rodrigues da Rocha,6847,1
Manoel do Rosário,6847,1
Antônio de Freitas Galvão,6847,1
Cultural Landscapes of Luanda Roquinaldo Ferreira On,6847,1
João Martins,6847,1
Europeauence,6847,1
Inquisitioles,6847,1
João Silva,6847,1
Schools With,6847,1
Josefa Angélica,6847,1
Manoel de Sacramento,6847,1
Mísia,6847,1
Manoel de Salvador,6847,1
Governor Francisco de Souza Coutinho,6847,1
Suzana de João,6847,1
De Paula,6847,1
Captain Manoel Simões Colaço,6847,1
João Sylva Franco,6847,1
Dande,6847,1
Maria Joaquina,6847,1
Cabinda,6847,1
Chapter Nine of the Jesuits,6847,1
Zambi,6847,1
Álvaro Zombo,6847,1
Gregório Pascoal,6847,1
Our Lady of Rosary,6847,1
Joaquim Francisco,6847,1
Angola Salvador,6847,1
Manoel da Silva Machado Palhares,6847,1
Mbundu,6847,1
José Pedro Cota,6847,1
Ambrózio Baltazar,6847,1
Lázaro Teixeira de Souza,6847,1
Marcos Gonga,6847,1
Recife,"6843,6860,6878,6847",4
Governor Antonio de Vasconcellos,6847,1
Brazilian,"6854,6895,6866,6868,6843,6875,6847",7
Manoel da Costa Pinheiro,6847,1
Maria Eugênia,6847,1
Domingos Sodré,6847,1
João Manoel,6847,1
João Baltazar,6847,1
Maria Francisca da Conceição,6847,1
Bernarda Manoel,6847,1
Caetano Mathias Leitão,6847,1
Jan Vansina,6847,1
Francisco Gomes,6847,1
Felícia,6847,1
Bahian Recôncavo of Salvador,6847,1
Teodora,6847,1
Ignácio Paulo da Silva,6847,1
Roza Benguela,6847,1
Dombe,6847,1
Francisco de Paulo,6847,1
Rio de Janeiro Faustina,6847,1
Elias Alexandre da Silva Corrêa,6847,1
Calumbo,6847,1
Inquisition,"6847,6876",2
Bernardo Nunes Portela,6847,1
Francisco Lopes Porto,6847,1
Tereza,6847,1
Pelourinho of Luanda,6847,1
Misericórdia,6847,1
Francisco Marques de Oliveira,6847,1
Caetano José,6847,1
José da Silva Teixeira,6847,1
Guiomar de Góes,6847,1
Lieutenant João da Silva Franco,6847,1
Kitanda Grande,6847,1
Antonio José da Silva Lisboa,6847,1
Governor Mossamedes,6847,1
Franciscans,"6891,6878,6847",3
Free People In,6847,1
Jacinto João,6847,1
Santa,6847,1
Bengo River,6847,1
Ndua,6847,1
Captain Joaquim António Ferreira,6847,1
Igreja dos Remédios,6847,1
Manoel Joaquim da Guerra,6847,1
Francisca Garcia,6847,1
Europand,6847,1
José Nicolau Ferreira,6847,1
Izabel Inácio,6847,1
Chokwe,6847,1
Junta of Missões,6847,1
Damião,6847,1
José Francisco,6847,1
Governor of Angola,6847,1
Manoel Lourenço Ferreira,6847,1
Kwango River,6847,1
Garcia Zombo,6847,1
Felix de Souza of Ouidah,6847,1
Free Person,6847,1
Henriques Barreto,6847,1
Natarcia,6847,1
Sebastião José Martins Ribeiro,6847,1
Desengano,6847,1
Henrique Francisco da Matta,6847,1
Bernardo José da Costa,6847,1
Language,6847,1
African Culture As,6847,1
Dionízia,6847,1
Penedo,6847,1
Cidade Alta,6847,1
Francisco de Paula,6847,1
Board,6847,1
Social Milieu of Taverns,6847,1
Municipal,"6847,6876",2
Brazineither,6847,1
Congo River,6847,1
Andreza Paulo,6847,1
George Papley,6839,1
English Colonies,6839,1
John McLean,6839,1
Island,"6884,6839",2
Period No,6839,1
Hancock,6839,1
Long Mss,"6839,6839,6885",3
Great Gulph,6839,1
Samuel Adams,6839,1
Hibbert,6839,1
British West Indian,"6839,6871",2
Kingston's Akan,6839,1
Foord,6839,1
American North,6839,1
Lady,6839,1
Lowbridge Bright,6839,1
Zachary Bayly,6839,1
Edward Manning,6839,1
Add,"6839,6839,6885",3
Forces of the Ten Kingston Slave Owners,6839,1
Planters,"6839,6867,6868",3
West Inur,6839,1
Crucible of Modernity Trevor Burnard,6839,1
Haven,"6839,6873,6902",3
Pleasures,"6884,6839",2
Aaron Baruh Lousada,6839,1
New England,"6839,6892,6902,6871,6872,6873",6
Percentage of Total Personal Property,6839,1
Thomas French,6839,1
British North American,"6839,6843",2
Cubbah,6839,1
Richard Clarke,6839,1
Exercised,6839,1
Census,"6839,6843,6878,6839,6885",5
Transformation of African Captives,6839,1
Smith of Kingston,6839,1
Sterling,6839,1
Mariners,"6839,6875",2
British West Indies,"6839,6868",2
Kingston Vestry Records,6839,1
Spanishtown,6839,1
Largest Slave Forces,6839,1
Male Female,6839,1
Jamaican Slaves For,6839,1
British American,6839,1
Jamaicans,"6839,6839,6885",3
British Empire,6839,1
Christopher Iannini,6839,1
Jamaica Archives,6839,1
Name Year No,6839,1
Enlightenment,"6839,6878",2
Intemperance,6839,1
Robert Penny,6839,1
Stamp Act,6839,1
Average,6839,1
Providence,6839,1
Empires of the Atlantic World,6839,1
Kingston Residents,6839,1
Samuel Delpratt,6839,1
Vega,6839,1
Crowd,6839,1
British Atlantic World,6839,1
Boston Evening Post,6839,1
Size of Slave Forces Owned,6839,1
Creole,"6839,6868",2
Kingstonians',6839,1
George Paplay,6839,1
William Foster,6839,1
An Unknown American Town It,6839,1
Majesty,6839,1
Kew,"6839,6839,6885",3
Six Structures of Slaveholding,6839,1
Disagreable Necesity,6839,1
Humble Petition of the Innocent Distressed Sons of Christ,6839,1
Robert Stirling,6839,1
Delirium Inspired,6839,1
Jacob Lopez Torres,6839,1
Edward Long,"6839,6873",2
Poll Tax,6839,1
Proy,6839,1
American Farmer,"6884,6839",2
Enslaved Property,6839,1
Bristol,"6907,6902,6839",3
Combination of Crimes,6839,1
Climate,6839,1
Thomas Thistlewood,6839,1
Collision,6839,1
Source,6839,1
Negro Diversions,6839,1
Number of Slave Owners,6839,1
Glare of Richesses,6839,1
Elementary Heat,6839,1
Port Royal,"6872,6874,6839",3
Tables,6839,1
Alexander Macfarlane,6839,1
Olaudah Equiano,6839,1
Pennsylvania,6839,1
Adam Gordon,6839,1
Mark Petersoes,6839,1
Temples,6839,1
John Nixon,6839,1
Negres,6839,1
Arms,6839,1
Enlightened,6839,1
Britain's American,6839,1
Bryan Edwards,"6839,6872,6873",3
Crèvecoeur's America,6839,1
Motions,6839,1
Wales,6839,1
Percentage of Inventories Containing Slaves,6839,1
Excess,6839,1
Extreme,6839,1
Crevecoeur,6839,1
Henry Bright,6839,1
Laing,6839,1
Westmoreland,6839,1
Letters,6839,1
Yale University Press,"6839,6873",2
Colin Clarke,6839,1
Passion,6839,1
Philadelphia,"6860,6861,6867,6868,6839,6872,6873,6876",8
Bermudas,6839,1
Young American,6839,1
American Revolution,"6839,6871,6902",3
Tacky,6839,1
Cudjoe,6839,1
Jasper Hall,6839,1
George Richards,6839,1
Newport,"6839,6873",2
Six But,6839,1
Alexander Harvie,6839,1
Dr.,6839,1
Inhabited,6839,1
Kingston Slaveholding,6839,1
Spain,"6851,6891,6895,6839,6843,6875,6878,6907",8
Ib,6839,1
Jamaican Assembly,"6839,6873",2
Other Subjects,6839,1
Giddy,6839,1
Cook,6839,1
Categories,"6839,6871",2
Contrast,6839,1
Sprigg,6839,1
Ashanti Queen Mothe,6839,1
Parish,6839,1
SlavesTEV,6839,1
Elliott,6839,1
Category of Slave Owners Owner,6839,1
Chaos of Men Negroes,6839,1
Barry Higman,"6839,6843",2
Composition of Slave Forces Owned,6839,1
Streets,"6839,6878",2
Music,6839,1
Gain,6839,1
Estate Values of Inventoried Estates,6839,1
Chapter Six Table,6839,1
National Archives,"6839,6871,6839,6885",4
Administration Port au Prince,"6872,6873",2
Antonio de Ulloa,"6872,6876",2
CoAvols,"6872,6873",2
Henry Romberg,"6872,6873",2
Republican Navy,"6872,6873",2
Corvington,6872,1
Complete,"6872,6873",2
North Province,"6872,6873",2
Fonds des Colonies,"6872,6873",2
North Americans,"6872,6871,6873",3
Yankee Notwithstanding,"6872,6873",2
Attorney General Coquille,"6872,6873",2
Those,6872,1
John Campbell,"6872,6876",2
San Juan,6872,1
Petit Goave,"6872,6873",2
Data,"6872,6873",2
Recensements,"6872,6873",2
Discours,"6872,6873",2
Willemstad,"6872,6876",2
Intendancy of Barbé Marbois,"6872,6873",2
French°,"6872,6873",2
James Barskett,"6872,6873",2
Development,6872,1
Eustatius,"6872,6873",2
Proc,"6872,6873",2
Affiches Américaines,"6872,6873",2
Montmorin,6872,1
Hine,6872,1
Columbia,"6872,6852",2
Négociants,"6872,6873",2
Saint Francois,"6872,6873",2
Petite Guinée,"6872,6873",2
Page,"6872,6873",2
Slave Populations of the British Caribbean,"6872,6873",2
Pore,"6872,6873",2
Commercial of the British West Indies,6872,1
Saits,"6872,6873",2
Régiment du Capt,"6872,6873",2
William,"6872,6871,6873",3
Bethell,"6872,6873",2
Travels,"6872,6873",2
Plaine du Nord,"6872,6873",2
Castries,"6872,6873",2
The Haitian Revolution The,"6872,6873",2
Marie Duboys,"6872,6873",2
Asian,"6872,6873,6843,6902",4
Petit Carénage,"6872,6873",2
Saint Méry’s Description Topographique,"6872,6873",2
French Customs House,"6872,6873",2
Léogane,"6872,6873",2
History Civil,6872,1
Turks Islands,"6872,6873",2
Brackets,"6872,6873",2
Goititnerce,"6872,6873",2
Fairleigh Dickinson University Press,"6872,6873",2
Tiburon,"6872,6873",2
History of the Island of St,"6872,6873",2
CpA,6872,1
Duvalier,6872,1
The Englishman,"6872,6876",2
Lord Colville of Culross,"6872,6873",2
Moreau de St Méry,"6872,6873",2
CgBvols,"6872,6873",2
Until,"6872,6873,6875",3
France°,"6872,6873",2
Pierre Laborie,"6872,6873",2
New Granadan,"6872,6876",2
With,"6872,6868,6873",3
Moreau de SaintMéry,"6872,6873",2
Refined,"6872,6873",2
Growth of American Port Towns,"6860,6868,6872,6873,6843,6876,6875",7
Seven Years’ War,"6872,6867,6873,6843",4
Ais,"6872,6873",2
Perspectives,"6872,6867,6868,6871,6873,6843,6875,6876",8
Mirebalais,"6872,6873",2
David Geggus Major Port Towns of Saint Domingue Table,6872,1
Visle Saint Domingue,"6872,6873",2
South Province,"6872,6873",2
Beyond,"6872,6873,6875",3
Pointé a Pitre,"6872,6873",2
Perkins Papers,6872,1
Thésée,"6872,6873",2
Rouen,"6872,6873",2
Libraire,"6872,6873",2
Jivres,"6872,6873",2
Cayes de Jacmel,"6872,6873",2
French Legislative Assembly,"6872,6873",2
Jérémie,"6872,6873",2
Above,"6872,6873",2
Northern,"6872,6873",2
Although,"6872,6873,6843,6875",4
SaintDomingue European,"6872,6873",2
Cie,"6872,6873",2
Marseilles,"6872,6873",2
Grand Goave,"6872,6873",2
Mary Quarterly,"6872,6871,6873",3
Shaping of Afro American Culture,"6872,6873",2
Barbé de Marbois,"6872,6873",2
Free Colored Women,6872,1
South—in,"6872,6873",2
Neégociants,"6872,6873",2
Historical Survey,"6872,6873",2
Cul de Sac,"6872,6873",2
Contraband,"6872,6902,6863",3
HeL,6872,1
Juice,"6872,6873",2
Etendue,"6872,6873",2
Because,"6872,6873,6875",3
Census Figures,"6872,6873",2
Selected Ports Port Millions Livres de Saint Domingue Port au Prince,"6872,6873",2
Fact Sputeninaets,"6872,6873",2
Société,"6872,6873",2
Produce Note,"6872,6873",2
Ironically,"6872,6873",2
American History,"6872,6868,6871,6875,6876",5
Cartagena—which,"6872,6876",2
The Spanish,"6872,6873",2
Boston Public Library,"6872,6873",2
While Charles Frostin,"6872,6873",2
Aconstant,"6872,6873",2
Francois Landolphe,"6872,6873",2
Prev,"6872,6873",2
Bulletin du Centre,"6872,6873",2
Averaging,"6872,6873",2
CoB—,6872,1
Higman Islands,"6872,6873",2
Lespace,6872,1
Jewish,"6872,6873,6902",3
Port de Paix,"6872,6873",2
David Geggus Table,"6872,6873",2
Mexico,"6872,6873,6859,6876",4
Caribbean Archives,"6872,6873",2
Public Record Office,6872,1
Nevis,"6872,6873",2
University Press Tortheoninas,6872,1
Civilisation That Perished,"6872,6873",2
New World This,"6872,6873",2
Revue de la Soc,6872,1
Centre Vhistoire des Espaces,"6872,6873",2
Millions Livres Tournois,"6872,6873",2
Sugar Sources,"6872,6873",2
Ia,6872,1
From Dessalines,6872,1
Commerce,"6872,6868,6875",3
Yona,"6872,6873",2
Number of Houses,"6872,6873",2
Function,"6860,6867,6871,6872,6873,6843,6875",7
Richard Sheridan,"6872,6873",2
Intendant Foulquier,"6872,6873",2
Black Women,6872,1
Memoir of Governor Clugny,"6872,6873",2
Quito,"6872,6868,6869,6876",4
Voyages,"6872,6873",2
Stanislas Fodche,"6872,6873",2
Thomas Perkins and Company of Boston,"6872,6873",2
Barré Saint Venant,6872,1
David Geggus Saint Louis du Sud,"6872,6873",2
Ill,"6872,6873",2
Grs,"6872,6873",2
Souvenirs des Antilles,"6872,6873",2
Archives Nationales,"6872,6873",2
York,"6872,6902",2
Magdalena,6872,1
Belair,"6872,6873",2
Editions,"6872,6873",2
Cop Eeeoats,"6872,6873",2
Geggus Most,"6872,6873",2
Moreau de Saint Méry,"6872,6873",2
Major Port Towns of Saint Domingue Moreau,6872,1
Mer,6872,1
Monsieur Petiton of Fort Dauphin,"6872,6873",2
Race,"6872,6873,6878",3
And,"6872,6873",2
Legrand,"6872,6873",2
Highways,"6872,6873",2
Early Nineteenth Century,"6872,6873",2
France—a,"6872,6873",2
Johns Hopkins,6872,1
Eighteenth Century Lance,"6872,6876",2
Hautes Etudes,"6872,6873",2
La Luzerne,6872,1
Manuel des Habitants de Saint Domingue,6872,1
French Crown,"6872,6873",2
Howard,"6872,6873",2
In March Americans,"6872,6873",2
However,"6872,6873,6843",3
South America’,"6872,6876",2
Recensement du Cap,"6872,6873",2
West Province,"6872,6873",2
Ppa Tow,"6872,6873",2
Iberian,"6872,6876",2
Masonic,"6872,6873,6878",3
Second,"6872,6873",2
See South Caroliniana Library,6872,1
Concerned,"6872,6873",2
Caribbean Sea,"6872,6867,6876",3
Hl DavidGeggus,"6872,6873",2
Lt,"6872,6873",2
Brazil,"6881,6897,6902,6872,6873",5
Louisiana,"6872,6873",2
According,"6872,6873",2
Gojre Planter of St,"6872,6873",2
Virginia,6872,1
Giso,"6872,6873",2
Work Pracess,"6872,6873",2
Tartade,6872,1
Martinique,"6872,6873,6863",3
Saint Domingue Revolution,6872,1
Stein,"6872,6873",2
Debien,6872,1
Intendant de Proisy,"6872,6873",2
Colour,6872,1
Méle Saint Nicolas,"6872,6873",2
Leogane,"6872,6873",2
Devon Record Office,6872,1
Eighteenth Century Saint Domingue,"6872,6873",2
Bordeaux,"6872,6873,6843",3
French Caribbean,"6872,6873",2
Later Eighteenth Century David Geggus Smaller,"6872,6873",2
Commandant,"6872,6873",2
The Le Cap,"6872,6873",2
Arthur Young,"6872,6873",2
Colonial Office,"6872,6869",2
Its Hinterland,6872,1
Spain’s Caribbean,"6872,6873",2
Jean Tarrade,"6872,6873",2
Cartagena de Levante,"6872,6876",2
Treasury,"6872,6873",2
Thése,"6872,6873",2
Henry Christophe,"6872,6873",2
Nantes,"6872,6873",2
Histoire des Espaces Atlantiques,"6872,6873",2
Defense When,"6872,6873",2
Calamari,"6872,6876",2
Bardet,"6872,6873",2
Description de Saint Domingue,"6872,6873",2
Maryland,"6872,6868,6873",3
Anonymous Author of the Précis Historique,"6872,6873",2
Quoted,"6872,6873,6876",3
West Indies—than,"6872,6873",2
Pérotin Damon,"6872,6873",2
Lavoe,"6872,6873",2
Wimpffen’s Voyage,6872,1
Travail,"6872,6873",2
Demeaux,"6872,6873",2
The British Occupation of SaintDomingue,"6872,6873",2
End of White Colonial Rule,"6872,6873",2
Léger Félicité Sonthonax,"6872,6873",2
Etat des Finances de Saint Domingue,6872,1
Baron Wimpffen,"6872,6873",2
Millions Pounds Weight,"6872,6873",2
Barbados,"6872,6867,6873",3
Kaplow,"6872,6873",2
Réponse,"6872,6873",2
Even,"6872,6869,6873,6875,6876",5
Santa Fé de Bogota,"6872,6876",2
Bainet,"6872,6873",2
Jamaica®,"6872,6873",2
University of Cambridge Press,"6872,6873",2
These,"6872,6867,6868,6873,6843,6902",6
National Independence,6872,1
Anglade,"6872,6873",2
Indigo,"6872,6873",2
Chez Gide,"6872,6873",2
If,"6872,6871,6873,6843,6878,6902",6
Cambridge History of Latin America,"6872,6873",2
Basse Terre,"6860,6862,6863,6868,6872,6873,6843",7
Le Cap—,"6872,6873",2
FortDauphin,"6872,6873",2
Banas,6872,1
Moreau de Saint Meéry,6872,1
New Kingdom of Granada,"6872,6876",2
Commissaire de la Marine,"6872,6873",2
Cap Francais Town Men Women Children Wage Earners Total Whites,"6872,6873",2
Larrat,6872,1
Tierra Firme,6872,1
Cauca,"6872,6876",2
Coie,"6872,6867",2
Jorge Juan,"6872,6876",2
Anne Pérotin Dumon,"6863,6868,6872,6873,6843",5
Exclusif,"6872,6873",2
Presses,"6872,6873",2
Exeter,6872,1
Reference,"6872,6873",2
Drouin de Bercy,"6872,6873",2
Clarendon Press,"6872,6873",2
Mozard,"6872,6873",2
Department of Bridges,"6872,6873",2
Coffee Cultivation,"6872,6873",2
Ducoeurjoly,"6872,6873",2
January,"6872,6878",2
Thomas Madiou,"6872,6873",2
De Saint Domingue,"6872,6873",2
Massachusetts Historical Society,6872,1
Simcoe Collection,6872,1
French West Indian,"6872,6873,6843",3
Freeport Trade Le Cap Port au Prince Les Cayes,"6872,6873",2
Spanish Town,"6872,6873,6874",3
Principal Exports,"6872,6873",2
Port Towns of Saint Domingue The,"6872,6873",2
Saint Frangois,"6872,6873",2
French Revolution,"6872,6867,6868,6873",4
Section Mod,6872,1
August°,"6872,6873",2
Hees Fi,"6872,6873",2
Dxxv,6872,1
The French,"6872,6873",2
Major Port Towns of Saint Domingue Tos Table,"6872,6873",2
White Sugar Source,"6872,6873",2
Sud Quest,"6872,6873",2
Garran Coulon,"6872,6873",2
Poussou,"6872,6873",2
Arcahaye,"6872,6873",2
Etats Unis,"6872,6873",2
Touring France,"6872,6873",2
Jacob Price,"6867,6868,6871,6872,6874,6876,6878",7
Pointe a Pitre,"6862,6868,6872,6873,6843",5
Whites Free Coloreds Slaves Total Le Cap,"6872,6873",2
Meinoir of the Conseil,"6872,6873",2
Portau Prince,"6872,6873",2
See Barry Higman,"6872,6873",2
Dominica,"6872,6873,6843,6863",4
Militarily,"6872,6873",2
Series CgBvol,"6872,6873",2
Also,"6872,6871",2
CgAletter,6872,1
Adults,"6872,6873",2
I'Isle de SaintDomingue,6872,1
Artibonite Valley,"6872,6873",2
Jean Rabel,"6872,6873",2
Trois Mois,6872,1
Intendant Barbé Marbois,"6872,6873",2
Usually,"6872,6873",2
Bapst,"6872,6873",2
Rapport,"6872,6873",2
Mémoires,"6872,6873",2
Population of Cap Frangais Parish Men Women Children Servants Wage Earners Total Whites,"6872,6873",2
Jess,"6872,6873,6878",3
Jean Fouchard,"6872,6873",2
Neufchateau,6872,1
Populations of the Three Provincial Capitals,"6872,6873",2
Spanish Main,"6872,6873,6876",3
Guadeloupe,"6862,6863,6868,6872,6873",5
Dugas Vallon Papers,6872,1
Local,"6872,6873",2
Port au Prince Port au Prince Saint Domingue Le Cap Saint Marc Brown,"6872,6873",2
Revenue,"6872,6873",2
Such,"6872,6873",2
House Values,"6872,6873",2
Madras,"6872,6873",2
Shaping of the Slave Labor Force,"6872,6873",2
Mayabeque,6867,1
Lowell Ragatz’s The Fall of the Plante,"6867,6868",2
Tepaske,6867,1
Parrefio,6867,1
Sugar Revolution,"6867,6871",2
Cubanowned,6867,1
Guaxaibon,6867,1
Bibliografia,6867,1
La Corufta,6867,1
Factory—,6867,1
Editorial La Muraila,6867,1
Ann Twinam,"6867,6868,6876",3
History Review,6867,1
Cardenas,6867,1
Napoleon,"6866,6867,6902",3
Significance of the Expulsion,"6867,6871",2
Hispanic American Historical Review,"6867,6868,6871,6902",4
Surely,6867,1
La Corufia,"6867,6843",2
University of Florida Presses,6867,1
World History,"6867,6868,6843,6902",4
International Sugar Economy,"6867,6868",2
Jr,"6867,6871",2
Texas Christian University,6867,1
Ranum,"6867,6868",2
Free Slave Trade Principle,6867,1
University Press of America,"6867,6868",2
Doris Ladd,"6867,6868",2
The Mexican Nobility,"6867,6868",2
Peter Lampros,"6867,6868,6871",3
Gulf of Mexico,6867,1
Demography of Colonial Cuba,6867,1
Precursor,6867,1
Calvos,6867,1
Conflict,"6867,6868,6871",3
French War,6867,1
Independence,"6867,6902",2
Adlantic Empires,6867,1
Commerical Reorganization,6867,1
José Francisco Sanchez,6867,1
Boletin del Archivo Nacional,6867,1
Escuela de Estudios Hispano Americanos,"6867,6875",2
Dignidades,6867,1
Spanish Imperial Markets,6867,1
Empires of France,6867,1
Beltrans,6867,1
Castile,6867,1
Esparia,6867,1
Consulado of Havana,6867,1
Robert Praca,6867,1
Santisima Trinidad,6867,1
Royal Havana Company,6867,1
Insurrection,6867,1
Pp,6867,1
Havana Hinterland,6867,1
Commandancy General of Marine,6867,1
Commerical Privileges,6867,1
Jandholdings,6867,1
Junta de Estado,6867,1
Cross Cultural Trade,"6867,6868,6843",3
Neither,6867,1
Archivo General de Simancas,6867,1
